CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
V99790,171,0.005,0.04,4.572,0.518,0.069,0.04,347,49,1387,10,4,0.009
V99791,161,0.005,0.035,4.58,0.559,0.07,0.041,361,45,1386,10,4,0.007
V99789,170,0.005,0.042,4.59,0.468,0.044,0.036,355,52,1368,9,4,0.013
V99787,159,0.005,0.034,4.53,0.737,0.077,0.04,313,44,1401,9,4,0.01
V99782,162,0.005,0.042,4.56,0.443,0.056,0.037,360,55,1346,10,5,0.013
V99781,165,0.005,0.035,4.52,0.48,0.056,0.037,323,49,1407,9,4,0.01
V99779,167,0.005,0.04,4.56,0.63,0.069,0.037,349,51,1395,10,5,0.009
V99778,163,0.005,0.04,4.56,0.547,0.057,0.036,346,78,1373,9,5,0.012
V99777,164,0.005,0.05,4.5,0.397,0.049,0.037,373,72,1386,11,7,0.004
V99776,162,0.005,0.039,4.52,0.622,0.069,0.04,344,56,1357,9,5,0.007
V99775,179,0.005,0.038,4.55,0.683,0.067,0.04,337,53,1436,10,5,0.005
V99774,172,0.005,0.038,4.54,0.43,0.053,0.038,313,57,1339,9,6,0.007
V99773,173,0.005,0.037,4.52,0.39,0.046,0.035,320,50,1390,8,5,0.012
V99772,175,0.005,0.039,4.54,0.46,0.054,0.035,318,54,1401,9,5,0.014
V99771,178,0.005,0.038,4.52,0.61,0.056,0.036,347,52,1429,10,5,0.011
V99770,175,0.005,0.036,4.53,0.47,0.058,0.035,410,62,1364,11,9,0.005
V99769,174,0.005,0.038,4.54,0.44,0.056,0.034,313,56,1330,9,6,0.008
V99768,166,0.005,0.036,4.51,0.55,0.064,0.034,328,50,1369,9,5,0.009
V99767,165,0.005,0.033,4.52,0.42,0.052,0.036,313,50,1390,8,5,0.009
V99766,165,0.005,0.032,4.51,0.32,0.04,0.037,292,52,1385,8,5,0.01
V99765,166,0.005,0.034,4.56,0.38,0.049,0.038,315,45,1406,9,5,0.009
V99763,163,0.005,0.036,4.52,0.7,0.075,0.039,309,49,1396,9,5,0.008
V99762,163,0.005,0.047,4.55,0.767,0.068,0.039,377,54,1435,11,5,0.008
V99761,160,0.005,0.04,4.52,0.591,0.064,0.039,345,58,1423,9,6,0.01
V99759,166,0.005,0.034,4.55,0.363,0.05,0.041,323,46,1396,9,6,0.01
V99758,167,0.005,0.038,4.55,0.381,0.051,0.04,334,50,1381,9,5,0.008
V99757,168,0.005,0.037,4.565,0.756,0.074,0.041,333,51,1398,9,5,0.009
V99756,173,0.005,0.042,4.55,0.835,0.081,0.04,354,50,1389,10,6,0.007
V99755,165,0.005,0.044,4.59,0.854,0.082,0.039,365,53,1385,9,6,0.006
V99753,166,0.005,0.041,4.59,0.385,0.045,0.037,349,49,1389,10,6,0.012
V99752,160,0.005,0.043,4.56,0.323,0.046,0.036,359,52,1396,9,6,0.01
V99751,173,0.005,0.039,4.54,0.443,0.054,0.037,339,49,1392,9,5,0.008
V99750,165,0.005,0.03,4.55,1.121,0.095,0.04,299,42,1405,11,5,0.008
V99749,173,0.005,0.031,4.55,0.8,0.077,0.04,499,46,1394,10,5,0.007
V99748,163,0.005,0.037,4.55,0.444,0.054,0.038,325,49,1353,9,5,0.011
V99746,162,0.005,0.032,4.68,0.91,0.087,0.04,306,43,1388,8,5,0.009
V99745,163,0.005,0.039,4.61,0.68,0.07,0.038,339,49,1401,9,5,0.006
V99744,166,0.005,0.038,4.62,0.49,0.055,0.04,415,50,1435,12,7,0.007
V99743,159,0.005,0.036,4.64,0.49,0.061,0.041,318,45,1402,8,5,0.009
V99742,165,0.005,0.034,4.66,0.58,0.063,0.038,407,41,,10,5,0.006
V99741,165,0.005,0.04,4.6,0.47,0.058,0.039,391,51,1400,10,7,0.011
V99740,168,0.005,0.048,4.53,0.72,0.069,0.036,387,54,1391,10,7,0.005
V99739,170,0.005,0.036,4.64,0.56,0.064,0.04,331,48,1366,10,5,0.005
V99738,172,0.005,0.042,4.58,0.53,0.061,0.038,357,51,,10,7,0.011
V99737,166,0.005,0.049,4.61,0.52,0.06,0.037,471,113,1400,13,9,0.007
V99736,160,0.005,0.035,4.64,0.55,0.062,0.041,363,51,,11,5,0.006
V99735,168,0.005,0.036,4.63,0.61,0.062,0.039,333,46,,10,6,0.008
V99734,160,0.005,0.035,4.65,0.52,0.061,0.039,320,47,1436,8,5,0.013
V99733,169,0.005,0.044,4.56,0.6,0.062,0.038,360,51,1415,10,6,0.007
V99732,168,0.005,0.046,4.63,0.61,0.063,0.036,375,52,1437,11,7,0.01
V99730,161,0.005,0.035,4.57,0.576,0.07,0.04,346,48,1426,10,5,0.006
V99729,170,0.005,0.047,4.58,0.467,0.054,0.035,361,52,1409,10,7,0.014
V99728,163,0.005,0.041,4.55,0.478,0.064,0.039,354,53,1358,12,7,0.006
V99727,164,0.005,0.034,4.58,0.524,0.065,0.041,320,53,1392,9,5,0.007
V99726,177,0.005,0.037,4.57,0.8,0.07,0.039,332,46,1399,9,6,0.009
V99725,160,0.005,0.045,4.54,0.69,0.065,0.033,511,44,1401,15,10,0.006
V99724,159,0.005,0.032,4.6,0.849,0.08,0.039,303,44,1362,9,4,0.005
V99723,170,0.005,0.035,4.59,0.574,0.067,0.041,324,46,1409,9,6,0.007
V99721,158,0.005,0.04,4.55,1.1,0.1,0.039,344,48,1461,10,5,0.009
V99720,161,0.005,0.037,4.56,1.033,0.094,0.038,335,46,,10,6,0.007
V99718,160,0.005,0.04,4.57,0.669,0.072,0.038,342,48,1386,10,5,0.009
V99717,166,0.005,0.041,4.55,0.708,0.076,0.039,349,49,1388,10,7,0.009
V99715,160,0.005,0.035,4.62,0.96,0.084,0.037,319,46,1414,9,4,0.005
V99714,173,0.005,0.034,4.612,0.97,0.088,0.04,313,45,1410,9,5,0.009
V99712,169,0.005,0.032,4.55,0.987,0.093,0.038,302,44,1408,9,5,0.005
V99711,164,0.005,0.039,4.54,0.715,0.083,0.04,343,48,1444,10,6,0.007
V99710,171,0.005,0.032,4.52,1.198,0.106,0.038,270,38,1438,7,4,0.006
V99709,164,0.005,0.039,4.57,0.898,0.087,0.039,337,50,1432,10,5,0.005
V99706,161,0.005,0.033,4.52,0.898,0.082,0.039,304,43,1381,9,4,0.005
V99704,176,0.005,0.034,4.52,0.621,0.069,0.039,317,44,1394,9,6,0.009
V99703,172,0.005,0.037,4.54,0.516,0.063,0.04,349,47,1398,10,5,0.009
V99702,159,0.005,0.041,4.56,0.54,0.062,0.037,347,49,1413,9,4,0.009
V99701,162,0.005,0.037,4.56,0.979,0.091,0.041,331,47,1386,10,6,0.007
V99699,163,0.005,0.043,4.54,0.667,0.064,0.038,357,51,1414,10,4,0.01
V99698,173,0.005,0.046,4.6,0.464,0.054,0.035,375,62,1346,11,8,0.007
V99695,165,0.008,0.048,4.5,0.511,0.047,0.038,367,51,1405,11,6,0.017
V99694,173,0.008,0.048,4.6,0.507,0.057,0.042,364,53,1377,10,5,0.016
V99693,166,0.008,0.048,4.6,0.565,0.058,0.039,364,51,1346,10,4,0.011
V99692,166,0.008,0.049,4.58,0.49,0.052,0.038,368,52,1395,11,6,0.013
V99691,166,0.008,0.051,4.6,0.56,0.062,0.039,336,48,1377,10,5,0.017
V99689,160,0.008,0.042,4.62,0.628,0.068,0.04,336,47,1399,10,5,0.011
V99688,166,0.008,0.044,4.6,0.679,0.068,0.038,335,49,1411,10,5,0.011
V99687,164,0.008,0.048,4.52,0.729,0.071,0.04,365,51,1415,10,4,0.006
V99686,175,0.008,0.045,4.5,0.72,0.075,0.039,352,49,1409,10,5,0.008
V99685,160,0.008,0.048,4.53,0.771,0.079,0.041,362,51,1415,11,5,0.009
V99684,165,0.008,0.046,4.57,0.84,0.084,0.041,362,51,1425,10,4,0.008
V99683,165,0.008,0.047,4.56,0.708,0.073,0.04,369,51,1422,10,5,0.009
V99682,163,0.008,0.05,4.5,0.56,0.064,0.038,362,53,1431,11,5,0.009
V99681,164,0.008,0.038,4.55,0.875,0.085,0.038,310,48,1390,9,4,0.005
V99680,160,0.008,0.039,4.55,0.834,0.08,0.038,329,45,1389,9,5,0.011
V99679,169,0.01,0.045,4.55,0.537,0.061,0.038,622,0,1270,16,5,0.012
V99678,165,0.008,0.051,4.53,0.405,0.053,0.036,363,51,1342,10,4,0.012
V99677,176,0.008,0.046,4.58,0.457,0.056,0.039,366,52,1372,11,5,0.009
V99676,159,0.008,0.045,4.56,0.521,0.063,0.04,341,49,1415,10,5,0.01
V99675,165,0.008,0.048,4.52,0.654,0.068,0.034,364,66,1400,10,6,0.005
V99673,163,0.008,0.048,4.54,0.49,0.062,0.038,365,51,1416,10,5,0.009
V99671,160,0.008,0.038,4.57,0.658,0.074,0.04,323,45,1419,9,4,0.007
V99670,176,0.008,0.048,4.59,0.552,0.058,0.039,366,51,,10,5,0.013
V99669,177,0.008,0.051,4.57,0.627,0.057,0.038,373,53,1404,9,6,0.013
V99667,155,0.008,0.048,4.55,0.589,0.056,0.037,379,53,1360,10,5,0.012
V99666,168,0.008,0.052,4.56,0.534,0.055,0.037,376,54,1362,10,6,0.012
V99665,158,0.008,0.051,4.55,0.454,0.055,0.037,367,52,1368,10,5,0.011
V99664,160,0.008,0.044,4.58,0.46,0.058,0.038,336,53,,9,5,0.017
V99662,158,0.008,0.041,4.54,0.635,0.07,0.039,320,45,1408,9,4,0.007
V99661,166,0.008,0.051,4.53,0.61,0.068,0.039,361,51,1332,10,5,0.01
V99660,159,0.008,0.05,4.52,0.72,0.067,0.037,369,53,1336,10,6,0.011
V99659,159,0.008,0.037,4.53,0.636,0.075,0.039,319,44,1330,9,4,0.006
V99658,167,0.005,0.043,4.49,0.574,0.066,0.036,354,49,1369,9,5,0.008
V99657,169,0.008,0.045,4.52,0.626,0.068,0.035,354,49,1360,10,5,0.011
V99655,174,0.005,0.041,4.53,0.504,0.058,0.038,340,49,1376,9,6,0.01
V99653,160,0.008,0.051,4.55,0.44,0.054,0.038,379,55,1391,11,5,0.014
V99652,163,0.005,0.049,4.52,0.634,0.062,0.039,391,57,1390,10,7,0.011
V99651,171,0.008,0.037,4.55,0.91,0.089,0.041,321,45,1364,9,5,0.004
V99648,161,0.008,0.036,4.54,0.634,0.069,0.038,315,43,1401,9,4,0.01
V99647,165,0.008,0.055,4.53,0.46,0.049,0.038,419,56,1361,11,7,0.015
V99644,160,0.008,0.048,4.58,0.579,0.053,0.036,369,52,1411,9,7,0.016
V99641,163,0.008,0.04,4.57,0.568,0.07,0.04,341,48,1388,9,6,0.01
V99639,158,0.008,0.049,4.53,0.541,0.063,0.039,372,53,1379,10,6,0.008
V99638,155,0.008,0.05,4.55,0.427,0.054,0.036,380,53,1359,10,6,0.012
V99637,171,0.008,0.05,4.52,0.52,0.054,0.036,383,54,1316,11,5,0.011
V99636,161,0.008,0.048,4.54,0.577,0.053,0.035,375,52,1317,11,5,0.01
V99634,173,0.008,0.055,4.52,0.599,0.06,0.036,406,57,1401,11,5,0.011
V99633,161,0.008,0.045,4.54,0.867,0.079,0.036,409,52,1309,13,5,0.002
V99630,153,0.008,0.052,4.45,0.483,0.053,0.035,383,55,1405,11,5,0.011
V99629,162,0.008,0.067,4.56,0.684,0.056,0.035,437,62,1392,11,8,0.011
V99627,163,0.008,0.04,4.55,0.658,0.072,0.039,342,48,1392,10,5,0.009
V99626,167,0.008,0.043,4.5,0.68,0.068,0.039,324,57,1410,9,7,0.011
V99624,157,0.008,0.055,4.54,0.371,0.043,0.036,399,57,,11,6,0.01
V99623,162,0.008,0.069,4.49,0.308,0.03,0.032,511,72,1352,13,9,0.011
V99621,174,0.008,0.028,4.58,0.955,0.095,0.041,291,42,1392,8,4,0.006
V99620,170,0.008,0.033,4.56,0.956,0.081,0.04,299,41,1396,7,5,0.012
V99618,163,0.008,0.051,4.37,0.478,0.049,0.036,378,53,1391,10,6,0.014
V99615,165,0.008,0.045,4.58,0.531,0.053,0.037,410,65,1379,12,6,0.008
V99613,173,0.008,0.073,4.57,0.364,0.029,0.034,443,63,1363,12,6,0.02
V99611,171,0.008,0.021,4.58,1.05,0.103,0.043,236,33,1402,6,4,0.007
V99609,161,0.008,0.056,4.36,0.428,0.054,0.038,401,57,1350,12,6,0.006
V99607,174,0.008,0.038,4.56,0.629,0.071,0.039,310,45,1371,9,5,0.009
V99604,167,0.008,0.042,4.6,0.702,0.072,0.04,354,49,,10,5,0.005
V99603,167,0.008,0.043,4.56,0.447,0.055,0.039,332,47,,9,6,0.017
V99602,161,0.008,0.048,4.5,0.59,0.052,0.039,370,52,,11,5,0.01
V99600,168,0.008,0.037,4.55,0.583,0.071,0.039,330,46,1370,9,6,0.012
V99598,166,0.008,0.042,4.58,0.567,0.064,0.041,360,51,1354,10,5,0.009
V99597,170,0.008,0.044,4.6,0.52,0.062,0.04,366,51,1374,10,7,0.009
V99596,168,0.008,0.04,4.57,0.565,0.064,0.037,321,45,1372,9,5,0.01
V99595,165,0.008,0.051,4.42,0.516,0.058,0.037,391,60,1408,11,6,0.007
V99592,168,0.008,0.046,4.5,0.608,0.066,0.038,345,51,1304,11,5,0.006
V99593,164,0.008,0.041,4.52,0.567,0.063,0.038,364,49,1306,10,5,0.006
V99590,165,0.008,0.048,4.5,0.63,0.073,0.037,379,52,1324,10,5,0.006
V99589,159,0.008,0.046,4.54,0.801,0.083,0.037,346,51,1323,10,5,0.003
V99588,165,0.008,0.039,4.6,0.569,0.066,0.038,343,48,1320,9,6,0.006
V99587,160,0.008,0.039,4.59,0.703,0.077,0.04,341,48,,10,4,0.005
V99586,164,0.008,0.035,4.58,0.782,0.08,0.039,298,43,,9,4,0.009
V99584,161,0.008,0.058,4.5,0.411,0.051,0.038,414,60,1380,11,5,0.009
V99583,159,0.008,0.047,4.56,0.44,0.05,0.039,349,51,1415,10,4,0.01
V99582,160,0.008,0.046,4.54,0.49,0.061,0.037,345,49,1373,10,6,0.012
V99581,163,0.008,0.044,4.56,0.55,0.064,0.038,341,47,1386,9,4,0.01
V99580,160,0.008,0.042,4.61,0.47,0.061,0.039,331,48,1417,10,4,0.012
V99579,160,0.008,0.038,4.58,0.59,0.069,0.04,310,44,1402,7,5,0.01
V99577,171,0.008,0.031,4.67,0.84,0.087,0.042,297,42,1382,8,3,0.005
V99575,162,0.008,0.033,4.56,0.78,0.083,0.04,302,43,1406,8,4,0.009
V99574,160,0.008,0.03,4.55,0.827,0.086,0.04,288,42,1440,8,4,0.006
V99572,164,0.008,0.027,4.55,1.021,0.103,0.043,288,42,1389,8,4,0.003
V99571,163,0.008,0.03,4.73,0.83,0.09,0.041,297,41,1373,8,4,0.006
V99567,169,0.008,0.046,4.54,0.608,0.066,0.04,356,52,1442,10,5,0.01
V99566,171,0.008,0.04,4.58,0.594,0.07,0.041,338,47,1413,8,5,0.009
V99565,160,0.008,0.035,4.59,0.729,0.077,0.04,306,49,1411,9,5,0.009
V99564,167,0.008,0.037,4.52,0.725,0.079,0.039,315,45,1396,9,5,0.007
V99563,165,0.008,0.037,4.57,0.687,0.078,0.039,326,44,1391,8,5,0.008
V99561,170,0.008,0.041,4.54,0.578,0.067,0.038,487,36,1390,19,4,0.008
V99556,171,0.005,0.042,4.53,0.592,0.065,0.039,379,54,1366,9,6,0.01
V99555,168,0.008,0.031,4.67,0.87,0.088,0.04,299,43,1378,8,4,0.005
V99554,163,0.005,0.026,4.56,1.001,0.097,0.042,273,38,1393,9,4,0.006
V99553,161,0.005,0.032,4.56,0.724,0.074,0.039,515,43,1416,10,5,0.006
V99552,162,0.005,0.039,4.56,0.523,0.064,0.037,339,49,1423,9,5,0.009
V99551,177,0.005,0.045,4.56,0.427,0.058,0.037,367,52,1431,10,6,0.009
V99550,171,0.005,0.045,4.52,0.489,0.059,0.037,373,52,1416,10,5,0.01
V99549,167,0.005,0.043,4.55,0.528,0.065,0.038,357,51,1402,10,5,0.005
V99548,155,0.005,0.035,4.49,0.667,0.08,0.039,320,47,1380,9,3,0.007
V99547,157,0.005,0.041,4.55,0.611,0.073,0.038,404,49,1391,10,5,0.008
V99544,162,0.005,0.039,4.55,0.694,0.079,0.039,369,52,1418,10,5,0.006
V99543,159,0.005,0.044,4.52,0.541,0.065,0.036,365,52,1433,10,5,0.008
V99542,164,0.005,0.045,4.55,0.591,0.071,0.04,366,52,1384,10,5,0.004
V99541,163,0.005,0.036,4.55,0.851,0.089,0.041,322,45,1396,9,4,0.004
V99540,163,0.005,0.035,4.53,0.86,0.09,0.042,332,48,1416,9,5,0.004
V99539,179,0.005,0.032,4.56,0.725,0.078,0.04,310,45,1430,9,4,0.008
V99538,165,0.005,0.029,4.5,0.719,0.081,0.039,286,45,1391,8,4,0.006
V99537,167,0.005,0.03,4.56,0.852,0.094,0.041,302,43,1392,8,4,0.004
V99536,171,0.005,0.03,4.58,0.745,0.083,0.04,297,42,1394,8,4,0.005
V99534,164,0.005,0.035,4.5,0.757,0.084,0.038,326,45,1411,9,4,0.006
V99533,164,0.005,0.032,4.55,0.864,0.093,0.04,328,46,1436,9,5,0.008
V99531,167,0.005,0.036,4.55,0.66,0.081,0.039,330,45,1376,9,4,0.005
V99530,153,0.005,0.035,4.57,0.777,0.083,0.041,321,46,1376,8,5,0.006
V99528,164,0.005,0.034,4.58,0.71,0.086,0.043,320,44,1381,9,4,0.006
V99526,163,0.005,0.045,4.54,0.462,0.061,0.037,381,54,,11,5,0.008
V99522,164,0.005,0.033,4.6,0.5,0.066,0.036,320,57,1418,9,5,0.006
V99520,162,0.003,0.033,4.6,0.588,0.074,0.038,345,49,1403,9,5,0.005
V99519,157,0.003,0.048,4.54,0.473,0.064,0.036,420,72,1378,12,8,0.005
V99517,162,0.003,0.048,4.57,0.519,0.064,0.038,430,62,1411,12,6,0.005
V99515,156,0.003,0.05,4.55,0.531,0.065,0.035,420,60,1391,12,6,0.007
V99513,160,0.003,0.034,4.63,0.717,0.077,0.037,344,58,1445,9,3,0.008
V99512,170,0.003,0.032,4.58,0.5,0.067,0.039,339,54,1360,9,5,0.004
V99511,168,0.003,0.034,4.6,0.641,0.075,0.039,344,49,1373,9,5,0.004
V99510,163,0.003,0.033,4.62,0.94,0.098,0.043,326,45,1416,9,5,0.003
V99509,172,0.003,0.034,4.6,0.856,0.088,0.036,354,61,1405,10,6,0.001
V99508,170,0.003,0.035,4.55,0.843,0.085,0.035,350,49,1394,10,5,0.004
V99507,164,0.003,0.03,4.58,0.644,0.079,0.038,325,46,1351,9,5,0.003
V99505,168,0.005,0.035,4.55,0.502,0.065,0.039,320,57,1433,9,6,0.006
V99503,162,0.005,0.034,4.51,0.523,0.069,0.041,301,48,1377,8,5,0.006
V99502,160,0.005,0.043,4.6,0.5,0.058,0.038,343,62,1364,10,6,0.005
V99501,164,0.005,0.033,4.55,0.607,0.075,0.041,309,44,1385,9,5,0.009
V99499,162,0.005,0.035,4.57,0.654,0.075,0.044,309,55,1422,9,6,0.005
V99498,160,0.005,0.033,4.55,0.63,0.073,0.043,360,71,1425,10,5,0.004
V99496,164,0.005,0.034,4.55,0.659,0.073,0.04,319,45,1436,9,5,0.008
V99493,161,0.005,0.033,4.55,0.693,0.076,0.042,310,48,1410,9,5,0.006
V99492,168,0.005,0.036,4.56,0.714,0.078,0.042,331,47,1382,8,4,0.01
V99491,179,0.005,0.037,4.55,0.698,0.074,0.041,337,46,1373,9,5,0.008
V99490,164,0.005,0.042,4.55,0.517,0.06,0.042,354,51,1376,10,5,0.009
V99489,175,0.005,0.045,4.61,0.492,0.055,0.039,373,53,,9,5,0.011
V99488,156,0.005,0.045,4.56,0.561,0.065,0.042,367,53,1334,10,5,0.006
V99487,167,0.005,0.027,4.72,0.81,0.093,0.047,283,39,1337,8,4,0.004
V99485,170,0.005,0.037,4.63,0.64,0.068,0.041,328,46,1367,9,5,0.006
V99484,164,0.005,0.044,4.55,0.54,0.061,0.042,361,51,1330,10,5,0.008
V99483,166,0.005,0.033,4.55,0.693,0.076,0.042,346,49,1347,9,5,0.006
V99482,165,0.005,0.034,4.66,0.65,0.073,0.044,367,53,,10,6,0.006
V99481,170,0.005,0.039,4.58,0.67,0.07,0.042,339,48,,9,5,0.01
V99480,160,0.005,0.038,4.56,0.66,0.067,0.042,341,47,1414,8,5,0.011
V99479,172,0.005,0.043,4.57,0.75,0.076,0.041,367,54,1408,10,5,0.008
V99478,167,0.005,0.035,4.55,0.833,0.08,0.042,320,51,,9,5,0.006
V99477,164,0.005,0.037,4.61,0.77,0.078,0.041,336,46,1392,8,5,0.009
V99476,170,0.005,0.036,4.63,0.75,0.076,0.041,320,46,1407,9,4,0.006
V99475,170,0.005,0.036,4.58,0.56,0.066,0.043,331,46,1404,8,5,0.008
V99474,161,0.005,0.041,4.59,0.63,0.067,0.042,366,52,1366,10,6,0.008
V99472,162,0.005,0.045,4.59,0.628,0.066,0.044,375,52,,9,5,0.008
V99471,173,0.005,0.043,4.56,0.655,0.069,0.041,332,47,1409,9,5,0.01
V99470,157,0.005,0.05,4.58,0.766,0.055,0.043,392,55,1431,11,5,0.008
V99469,159,0.005,0.047,4.57,0.654,0.06,0.042,381,53,1419,10,6,0.008
V99468,164,0.005,0.034,4.63,0.91,0.087,0.041,309,44,1397,9,5,0.005
V99467,163,0.005,0.045,4.55,0.515,0.062,0.043,367,51,1435,10,5,0.01
V99466,160,0.005,0.044,4.52,0.496,0.06,0.043,331,52,1412,9,5,0.013
V99465,170,0.005,0.05,4.57,0.735,0.077,0.042,362,60,1372,10,6,0.007
V99464,161,0.005,0.026,4.54,0.91,0.091,0.045,284,41,1432,8,4,0.005
V99463,161,0.005,0.028,4.57,1.063,0.088,0.046,306,49,1402,8,5,0.006
V99462,164,0.005,0.037,4.52,0.733,0.079,0.047,331,46,1355,8,5,0.007
V99461,162,0.005,0.034,4.54,0.841,0.087,0.046,322,49,1363,9,5,0.006
V99460,164,0.005,0.025,4.6,0.959,0.097,0.04,247,35,1389,6,3,0.006
V99459,160,0.01,0.043,4.57,0.838,0.072,0.045,327,51,1312,9,5,0.005
V99458,165,0.005,0.052,4.55,0.624,0.055,0.044,417,61,1383,12,6,0.005
V99455,171,0.005,0.049,4.55,0.586,0.063,0.042,386,55,1409,11,6,0.012
V99453,178,0.005,0.055,4.54,0.715,0.068,0.038,433,59,1403,12,6,0.008
V99451,172,0.005,0.07,4.5,0.393,0.042,0.037,485,76,1400,12,8,0.008
V99450,174,0.005,0.06,4.54,0.417,0.047,0.038,439,62,1413,13,6,0.009
V99449,174,0.005,0.058,4.57,0.428,0.049,0.039,431,61,1429,12,6,0.015
V99448,161,0.005,0.06,4.59,0.504,0.052,0.04,436,62,1391,11,6,0.014
V99447,168,0.005,0.057,4.52,0.504,0.056,0.04,424,61,1393,12,6,0.011
V99445,169,0.005,0.039,4.58,0.742,0.082,0.048,339,48,1327,9,5,0.004
V99442,163,0.005,0.035,4.62,0.75,0.08,0.043,339,43,1407,10,5,0.005
V99441,167,0.005,0.045,4.6,0.65,0.071,0.042,382,52,1428,11,5,0.007
V99437,163,0.005,0.043,4.62,0.744,0.072,0.039,372,51,1398,11,5,0.006
V99436,164,0.005,0.046,4.58,0.879,0.071,0.039,307,51,1402,8,5,0.01
V99435,170,0.005,0.055,4.62,0.545,0.054,0.042,443,58,1435,13,6,0.012
V99433,161,0.005,0.053,4.62,0.644,0.063,0.04,420,67,1368,12,6,0.005
V99430,180,0.005,0.068,4.48,0.376,0.045,0.037,514,86,1388,15,8,0.009
V99428,167,0.005,0.056,4.5,0.41,0.049,0.04,390,77,1354,11,8,0.007
V99426,176,0.005,0.058,4.4,0.55,0.053,0.04,428,61,1388,12,7,0.009
V99425,166,0.005,0.064,4.55,0.455,0.049,0.036,410,82,1376,12,9,0.007
V99424,167,0.005,0.052,4.582,0.613,0.057,0.042,404,57,1440,11,5,0.007
V99423,176,0.005,0.051,4.6,0.571,0.06,0.043,395,57,1439,12,6,0.012
V99422,167,0.005,0.044,4.56,0.754,0.077,0.045,338,61,1430,9,6,0.007
V99421,171,0.005,0.048,4.51,0.677,0.074,0.044,375,66,1417,11,6,0.005
V99420,170,0.005,0.061,4.49,0.534,0.056,0.039,443,64,1394,13,7,0.008
V99418,161,0.005,0.054,4.55,0.607,0.061,0.039,421,75,,11,7,0.007
V99417,172,0.005,0.054,4.55,0.601,0.062,0.041,404,57,1442,11,6,0.006
V99416,165,0.005,0.062,4.56,0.59,0.06,0.039,422,55,1394,11,6,0.01
V99415,163,0.005,0.063,4.58,0.58,0.054,0.038,459,66,1348,12,7,0.011
V99414,163,0.005,0.042,4.56,0.629,0.06,0.045,339,47,1297,10,4,0.006
V99413,169,0.005,0.049,4.52,0.881,0.074,0.04,370,52,1400,10,6,0.01
V99412,168,0.005,0.044,4.57,0.765,0.07,0.042,373,52,1417,10,5,0.008
V99408,161,0.005,0.038,4.56,0.587,0.068,0.043,414,60,1416,12,6,0.011
V99407,161,0.005,0.059,4.56,0.552,0.059,0.039,441,63,,12,7,0.011
V99406,164,0.005,0.046,4.56,0.64,0.07,0.043,371,53,,10,5,0.005
V99405,161,0.005,0.041,4.59,0.676,0.073,0.044,318,46,,9,4,0.008
V99399,168,0.005,0.045,4.52,0.527,0.061,0.04,367,52,1340,10,5,0.009
V99397,176,0.005,0.046,4.58,0.557,0.059,0.044,372,52,1418,10,5,0.01
V99396,172,0.005,0.042,4.55,0.516,0.059,0.041,354,52,1367,10,5,0.006
V99395,172,0.005,0.043,4.57,0.456,0.06,0.042,354,51,1372,9,5,0.009
V99394,167,0.005,0.056,4.55,0.634,0.057,0.04,431,61,1409,11,6,0.009
V99393,168,0.005,0.054,4.53,0.558,0.055,0.039,412,58,1413,11,6,0.009
V99392,174,0.005,0.047,4.54,0.401,0.044,0.041,490,53,1422,10,6,0.013
V99391,172,0.005,0.045,4.55,0.363,0.049,0.042,372,53,1415,10,5,0.013
V99389,167,0.005,0.051,4.54,0.391,0.047,0.04,395,57,1376,11,5,0.01
V99390,176,0.005,0.048,4.65,0.393,0.049,0.043,378,53,1415,9,6,0.012
V99387,172,0.005,0.06,4.48,0.412,0.051,0.04,540,76,1398,14,8,0.004
V99385,168,0.005,0.052,4.57,0.374,0.047,0.042,492,59,1378,12,6,0.008
V99382,159,0.005,0.063,4.51,0.31,0.035,0.035,454,64,1317,13,6,0.01
V99380,169,0.005,0.051,4.53,0.487,0.055,0.038,395,56,1371,11,5,0.007
V99379,166,0.005,0.057,4.54,0.484,0.055,0.039,435,71,1380,12,7,0.004
V99378,170,0.005,0.05,4.59,0.529,0.056,0.039,372,67,1359,11,6,0.006
V99377,168,0.005,0.051,4.5,0.583,0.06,0.039,396,58,1378,11,5,0.005
V99376,165,0.005,0.045,4.58,0.366,0.051,0.042,366,52,1392,10,5,0.007
V99372,166,0.005,0.038,4.6,0.72,0.074,0.045,313,56,1409,9,5,0.004
V99373,169,0.005,0.04,4.6,0.584,0.067,0.043,343,50,1402,9,5,0.008
V99370,163,0.005,0.033,4.62,0.48,0.066,0.045,310,44,1370,8,4,0.009
V99369,171,0.005,0.046,4.57,0.46,0.048,0.043,350,63,1397,10,6,0.008
V99368,165,0.005,0.05,4.55,0.32,0.038,0.042,393,60,1417,10,5,0.014
V99366,170,0.005,0.041,4.65,0.692,0.075,0.042,352,56,1346,10,6,0.004
V99365,175,0.005,0.043,4.62,0.773,0.064,0.044,359,52,1367,9,5,0.008
V99364,164,0.005,0.045,4.62,0.39,0.046,0.042,367,52,1424,10,5,0.013
V99362,169,0.005,0.035,4.65,0.81,0.082,0.042,321,45,1396,8,4,0.008
V99359,170,0.005,0.038,4.64,0.56,0.066,0.046,334,47,1372,9,4,0.007
V99358,165,0.005,0.039,4.56,0.594,0.056,0.045,338,50,1425,9,5,0.01
